GeneID	GeneName	Symbol	Chr	Start	End	Strand	GeneBiotype
AT1G01010	AT1G01010	NAC001	Chr1	3631	5899	+	protein_coding
AT1G01020	AT1G01020	ARV1	Chr1	6788	9130	-	protein_coding
AT1G03987	AT1G03987		Chr1	11101	11372	+	long_noncoding_rna
AT1G01030	AT1G01030	NGA3	Chr1	11649	13714	-	protein_coding
AT1G01040	AT1G01040	DCL1	Chr1	23121	31227	+	protein_coding
AT1G03993	AT1G03993		Chr1	23312	24099	-	antisense_long_noncoding_rna
AT1G01046	AT1G01046	MIR838A	Chr1	28500	28706	+	mirna
AT1G01050	AT1G01050	PPa1	Chr1	31170	33171	-	protein_coding
AT1G03997	AT1G03997		Chr1	32727	33009	+	antisense_long_noncoding_rna
AT1G01060	AT1G01060	LHY	Chr1	33365	37871	-	protein_coding
AT1G01070	AT1G01070	UMAMIT28	Chr1	38444	41017	-	protein_coding
AT1G04003	AT1G04003		Chr1	43087	43295	-	long_noncoding_rna
AT1G01080	AT1G01080		Chr1	44970	47059	-	protein_coding
AT1G01090	AT1G01090	PDH-E1 ALPHA	Chr1	47234	49304	-	protein_coding
AT1G01100	AT1G01100		Chr1	49909	51210	-	protein_coding
AT1G01110	AT1G01110	IQD18	Chr1	51953	54737	+	protein_coding
AT1G01120	AT1G01120	KCS1	Chr1	57164	59215	-	protein_coding
AT1G01130	AT1G01130		Chr1	61905	63811	-	protein_coding
AT1G01140	AT1G01140	CIPK9	Chr1	64166	67774	-	protein_coding
AT1G01150	AT1G01150		Chr1	69911	72138	-	protein_coding
AT1G01160	AT1G01160	GIF2	Chr1	72339	74096	+	protein_coding
AT1G04007	AT1G04007		Chr1	72646	73108	-	antisense_long_noncoding_rna
AT1G01170	AT1G01170		Chr1	73931	74737	-	protein_coding
AT1G04013	AT1G04013		Chr1	74435	74683	+	antisense_long_noncoding_rna
AT1G01180	AT1G01180		Chr1	75390	76845	+	protein_coding
AT1G08765	AT1G08765		Chr1	77537	80345	+	novel_transcribed_region
AT1G01183	AT1G01183	MIR165A	Chr1	78927	79037	-	mirna
AT1G01190	AT1G01190	CYP78A8	Chr1	82984	84946	-	protein_coding
AT1G01200	AT1G01200	RABA3	Chr1	86486	88409	-	protein_coding
AT1G01210	AT1G01210		Chr1	88622	90502	+	protein_coding
AT1G04017	AT1G04017		Chr1	90169	90401	-	long_noncoding_rna
AT1G01220	AT1G01220	FKGP	Chr1	91342	95681	+	protein_coding
AT1G04023	AT1G04023		Chr1	91356	91685	-	long_noncoding_rna
AT1G01225	AT1G01225		Chr1	95935	97407	+	protein_coding
AT1G01230	AT1G01230		Chr1	97412	99240	+	protein_coding
AT1G01240	AT1G01240		Chr1	99865	101987	+	protein_coding
AT1G01250	AT1G01250		Chr1	104440	105330	-	protein_coding
AT1G01260	AT1G01260		Chr1	108946	111699	+	protein_coding
AT1G01270	AT1G01270		Chr1	111890	111961	-	pre_trna
AT1G01280	AT1G01280	CYP703A2	Chr1	112263	113947	+	protein_coding
AT1G01290	AT1G01290	CNX3	Chr1	114202	116407	+	protein_coding
AT1G01300	AT1G01300		Chr1	116784	118845	+	protein_coding
AT1G01305	AT1G01305		Chr1	119381	119997	+	protein_coding
AT1G01310	AT1G01310		Chr1	120154	121130	+	protein_coding
AT1G01320	AT1G01320		Chr1	121067	130577	-	protein_coding
AT1G01335	AT1G01335		Chr1	130736	130858	+	protein_coding
AT1G01340	AT1G01340	CNGC10	Chr1	132270	135924	-	protein_coding
AT1G01350	AT1G01350		Chr1	136090	138162	+	protein_coding
AT1G01355	AT1G01355		Chr1	138489	139680	+	protein_coding
AT1G01360	AT1G01360	RCAR1	Chr1	141870	143261	+	protein_coding
AT1G01370	AT1G01370	HTR12	Chr1	143489	146479	+	protein_coding
AT1G01380	AT1G01380	ETC1	Chr1	147043	148014	+	protein_coding
AT1G01390	AT1G01390		Chr1	148013	149848	-	protein_coding
AT1G01400	AT1G01400		Chr1	150689	152210	-	protein_coding
AT1G01410	AT1G01410	PUM22	Chr1	153113	154198	+	protein_coding
AT1G01420	AT1G01420	UGT72B3	Chr1	154367	156178	-	protein_coding
AT1G01430	AT1G01430	TBL25	Chr1	156477	158823	-	protein_coding
AT1G01440	AT1G01440		Chr1	159628	162953	-	protein_coding
AT1G01448	AT1G01448		Chr1	163278	166353	+	antisense_long_noncoding_rna
AT1G01450	AT1G01450		Chr1	164105	165517	-	protein_coding
AT1G01453	AT1G01453		Chr1	166589	168088	-	protein_coding
AT1G01460	AT1G01460	PIPK11	Chr1	168559	171386	+	protein_coding
AT1G01470	AT1G01470	LEA14	Chr1	171525	172948	-	protein_coding
AT1G01480	AT1G01480	ACS2	Chr1	175706	178406	+	protein_coding
AT1G01490	AT1G01490		Chr1	180017	182749	-	protein_coding
AT1G01500	AT1G01500		Chr1	185033	187135	+	protein_coding
AT1G01510	AT1G01510	AN	Chr1	187145	190472	+	protein_coding
AT1G01520	AT1G01520	ASG4	Chr1	190408	192436	+	protein_coding
AT1G01530	AT1G01530	AGL28	Chr1	192634	193670	-	protein_coding
AT1G01540	AT1G01540		Chr1	195645	198787	+	protein_coding
AT1G01550	AT1G01550	BPS1	Chr1	199527	201775	+	protein_coding
AT1G01560	AT1G01560	MPK11	Chr1	202103	204440	+	protein_coding
AT1G01570	AT1G01570		Chr1	204935	207642	+	protein_coding
AT1G01580	AT1G01580	FRO2	Chr1	208995	213082	+	protein_coding
AT1G01590	AT1G01590	FRO1	Chr1	214150	217734	+	protein_coding
AT1G01600	AT1G01600	CYP86A4	Chr1	218834	221286	+	protein_coding
AT1G01610	AT1G01610	GPAT4	Chr1	221642	224351	-	protein_coding
AT1G01620	AT1G01620	PIP1C	Chr1	225665	227543	-	protein_coding
AT1G01630	AT1G01630		Chr1	228799	230979	+	protein_coding
AT1G01640	AT1G01640		Chr1	230908	232630	-	protein_coding
AT1G01650	AT1G01650	SPPL4	Chr1	232840	237905	-	protein_coding
AT1G04027	AT1G04027	MIR2112	Chr1	234006	234159	-	mirna
AT1G01660	AT1G01660		Chr1	239841	242703	-	protein_coding
AT1G01670	AT1G01670		Chr1	242713	246054	-	protein_coding
AT1G01680	AT1G01680	PUB54	Chr1	246262	248440	-	protein_coding
AT1G01690	AT1G01690	PRD3	Chr1	249041	252522	+	protein_coding
AT1G01695	AT1G01695	TRM33	Chr1	252626	254530	+	protein_coding
AT1G08775	AT1G08775		Chr1	254830	257582	+	novel_transcribed_region
AT1G04033	AT1G04033		Chr1	255022	255384	+	long_noncoding_rna
AT1G04037	AT1G04037		Chr1	258717	258963	-	long_noncoding_rna
AT1G01700	AT1G01700	ROPGEF2	Chr1	259307	261667	-	protein_coding
AT1G01710	AT1G01710		Chr1	262828	266324	+	protein_coding
AT1G01715	AT1G01715		Chr1	266333	267883	+	protein_coding
AT1G04043	AT1G04043		Chr1	267993	268336	-	antisense_long_noncoding_rna
AT1G01720	AT1G01720	ATAF1	Chr1	267993	269819	+	protein_coding
AT1G01725	AT1G01725		Chr1	269792	270859	-	protein_coding
AT1G04047	AT1G04047		Chr1	270067	270517	+	antisense_long_noncoding_rna
AT1G01730	AT1G01730		Chr1	270797	272189	+	protein_coding
AT1G01740	AT1G01740	BSK4	Chr1	272111	274930	-	protein_coding
AT1G01750	AT1G01750	ADF11	Chr1	275188	276310	+	protein_coding
AT1G04053	AT1G04053		Chr1	275473	276319	-	antisense_long_noncoding_rna
AT1G01760	AT1G01760		Chr1	276266	278599	-	protein_coding
AT1G04057	AT1G04057		Chr1	276543	276729	+	antisense_rna
AT1G01770	AT1G01770		Chr1	278600	282891	+	protein_coding
AT1G01780	AT1G01780	PLIM2b	Chr1	282761	284245	+	protein_coding
AT1G01790	AT1G01790	KEA1	Chr1	284350	291203	+	protein_coding
AT1G04063	AT1G04063		Chr1	291594	292061	-	long_noncoding_rna
AT1G01800	AT1G01800		Chr1	293246	295086	+	protein_coding
AT1G01810	AT1G01810		Chr1	295207	295859	+	protein_coding
AT1G01820	AT1G01820	PEX11C	Chr1	296001	298334	-	protein_coding
AT1G01830	AT1G01830		Chr1	298451	302310	-	protein_coding
AT1G04067	AT1G04067		Chr1	303463	303977	-	antisense_long_noncoding_rna
AT1G01840	AT1G01840		Chr1	303537	304358	+	protein_coding
AT1G01860	AT1G01860	PFC1	Chr1	304133	306310	-	protein_coding
AT1G04073	AT1G04073		Chr1	304481	304713	+	antisense_long_noncoding_rna
AT1G01870	AT1G01870		Chr1	306384	306456	+	pre_trna
AT1G01880	AT1G01880		Chr1	306467	309541	-	protein_coding
AT1G01890	AT1G01890		Chr1	309275	309347	-	pre_trna
AT1G01900	AT1G01900	SBTI1.1	Chr1	310169	313130	+	protein_coding
AT1G04077	AT1G04077		Chr1	311828	312884	-	antisense_long_noncoding_rna
AT1G01910	AT1G01910		Chr1	313101	316090	-	protein_coding
AT1G04083	AT1G04083		Chr1	314189	314463	+	antisense_long_noncoding_rna
AT1G01920	AT1G01920		Chr1	315983	319667	+	protein_coding
AT1G01930	AT1G01930		Chr1	319769	322895	-	protein_coding
AT1G01940	AT1G01940		Chr1	322886	324917	+	protein_coding
AT1G01950	AT1G01950	ARK2	Chr1	325316	330619	+	protein_coding
AT1G01960	AT1G01960	EDA10	Chr1	330588	337912	-	protein_coding
AT1G01970	AT1G01970		Chr1	338241	340088	+	protein_coding
AT1G01980	AT1G01980		Chr1	340108	342040	-	protein_coding
AT1G01990	AT1G01990		Chr1	342918	344400	-	protein_coding
AT1G02000	AT1G02000	GAE2	Chr1	345516	347603	+	protein_coding
AT1G02010	AT1G02010	SEC1A	Chr1	347613	352545	+	protein_coding
AT1G02020	AT1G02020		Chr1	352612	355124	-	protein_coding
AT1G02030	AT1G02030		Chr1	355124	357258	-	protein_coding
AT1G02040	AT1G02040		Chr1	357906	359078	-	protein_coding
AT1G02050	AT1G02050	LAP6	Chr1	359117	360746	-	protein_coding
AT1G02060	AT1G02060		Chr1	360918	363142	-	protein_coding
AT1G02065	AT1G02065	SPL8	Chr1	365165	367443	+	protein_coding
AT1G02067	AT1G02067		Chr1	366945	367166	-	protein_coding
AT1G02070	AT1G02070		Chr1	370195	371090	-	protein_coding
AT1G02080	AT1G02080		Chr1	373335	386913	+	protein_coding
AT1G02090	AT1G02090	FUS5	Chr1	387277	389808	-	protein_coding
AT1G02100	AT1G02100	SBI1	Chr1	389812	392816	+	protein_coding
AT1G02110	AT1G02110		Chr1	392831	395528	+	protein_coding
AT1G02120	AT1G02120	VAD1	Chr1	395689	400001	+	protein_coding
AT1G02130	AT1G02130	RA-5	Chr1	399983	401919	-	protein_coding
AT1G04087	AT1G04087		Chr1	402086	402294	+	long_noncoding_rna
AT1G02136	AT1G02136		Chr1	402693	402961	-	pseudogene
AT1G02140	AT1G02140	MAGO	Chr1	403100	404456	-	protein_coding
AT1G02145	AT1G02145	ALG12	Chr1	404600	408619	+	protein_coding
AT1G02150	AT1G02150		Chr1	408622	410680	+	protein_coding
AT1G02160	AT1G02160		Chr1	410744	411632	+	protein_coding
AT1G02170	AT1G02170	MC1	Chr1	411664	413554	+	protein_coding
AT1G02180	AT1G02180		Chr1	413522	414649	-	protein_coding
AT1G02190	AT1G02190		Chr1	415074	418027	+	protein_coding
AT1G02205	AT1G02205	CER1	Chr1	418416	422579	+	protein_coding
AT1G08785	AT1G08785		Chr1	424479	425189	-	novel_transcribed_region
AT1G04093	AT1G04093		Chr1	424666	425164	+	long_noncoding_rna
AT1G02210	AT1G02210		Chr1	427548	427811	-	protein_coding
AT1G02220	AT1G02220	NAC003	Chr1	428650	430720	-	protein_coding
AT1G02228	AT1G02228		Chr1	433031	433819	-	transposable_element_gene
AT1G02230	AT1G02230	NAC004	Chr1	434965	436922	-	protein_coding
AT1G02250	AT1G02250	NAC005	Chr1	437860	439559	-	protein_coding
AT1G02260	AT1G02260		Chr1	440200	442972	-	protein_coding
AT1G02270	AT1G02270		Chr1	443118	446296	-	protein_coding
AT1G08795	AT1G08795		Chr1	447092	448257	+	novel_transcribed_region
AT1G02280	AT1G02280	TOC33	Chr1	448423	450426	-	protein_coding
AT1G02290	AT1G02290		Chr1	450461	452743	-	protein_coding
AT1G02300	AT1G02300		Chr1	453107	455519	+	protein_coding
AT1G02305	AT1G02305		Chr1	455688	458164	+	protein_coding
AT1G04097	AT1G04097		Chr1	455880	456198	-	antisense_long_noncoding_rna
AT1G02310	AT1G02310	MAN1	Chr1	458133	460831	-	protein_coding
AT1G04103	AT1G04103		Chr1	459122	461921	+	antisense_long_noncoding_rna
AT1G02320	AT1G02320		Chr1	461828	461974	+	protein_coding
AT1G02330	AT1G02330		Chr1	461946	463618	-	protein_coding
AT1G02335	AT1G02335	GL22	Chr1	463754	464981	-	protein_coding
AT1G02340	AT1G02340	HFR1	Chr1	465616	467880	-	protein_coding
AT1G02350	AT1G02350		Chr1	469818	470693	+	protein_coding
AT1G04107	AT1G04107		Chr1	471127	471498	-	novel_transcribed_region
AT1G02360	AT1G02360		Chr1	471883	473336	-	protein_coding
AT1G02370	AT1G02370		Chr1	474373	476612	+	protein_coding
AT1G02380	AT1G02380		Chr1	476945	479112	+	protein_coding
AT1G02390	AT1G02390	GPAT2	Chr1	480650	483373	+	protein_coding
AT1G02400	AT1G02400	GA2OX6	Chr1	486800	489651	+	protein_coding
AT1G02405	AT1G02405		Chr1	489874	490627	-	protein_coding
AT1G02410	AT1G02410		Chr1	490860	492979	+	protein_coding
AT1G02420	AT1G02420		Chr1	493639	495158	+	protein_coding
AT1G04117	AT1G04117		Chr1	494008	495548	-	antisense_long_noncoding_rna
AT1G02430	AT1G02430	ARFD1B	Chr1	495050	496332	-	protein_coding
AT1G04123	AT1G04123		Chr1	495887	496190	+	antisense_long_noncoding_rna
AT1G02440	AT1G02440	ARFD1A	Chr1	496372	497555	-	protein_coding
AT1G02450	AT1G02450	NIMIN1	Chr1	497917	498539	-	protein_coding
AT1G02460	AT1G02460		Chr1	504463	507268	-	protein_coding
AT1G02470	AT1G02470		Chr1	511765	513721	-	protein_coding
AT1G02475	AT1G02475		Chr1	513699	515422	-	protein_coding
AT1G02480	AT1G02480		Chr1	515494	515566	+	pre_trna
AT1G02490	AT1G02490		Chr1	516569	516866	+	protein_coding
AT1G02500	AT1G02500	SAM1	Chr1	518091	520495	+	protein_coding
AT1G02510	AT1G02510	TPK4	Chr1	520498	521668	-	protein_coding
AT1G02520	AT1G02520	ABCB11	Chr1	523536	529069	+	protein_coding
AT1G02530	AT1G02530	ABCB12	Chr1	529679	534677	+	protein_coding
AT1G02540	AT1G02540		Chr1	534827	535699	-	protein_coding
AT1G02550	AT1G02550		Chr1	536483	537211	+	protein_coding
AT1G02560	AT1G02560	CLPP5	Chr1	537740	540127	+	protein_coding
AT1G02570	AT1G02570		Chr1	541236	542245	+	protein_coding
AT1G02575	AT1G02575		Chr1	543011	544057	+	protein_coding
AT1G02580	AT1G02580	MEA	Chr1	544733	549202	+	protein_coding
AT1G08805	AT1G08805		Chr1	551002	551636	-	novel_transcribed_region
AT1G04127	AT1G04127		Chr1	551289	551529	-	long_noncoding_rna
AT1G02590	AT1G02590		Chr1	552138	552761	-	protein_coding
AT1G02600	AT1G02600		Chr1	552640	552711	+	pre_trna
AT1G02610	AT1G02610		Chr1	553019	556152	-	protein_coding
AT1G02620	AT1G02620		Chr1	557092	558774	+	protein_coding
AT1G04133	AT1G04133		Chr1	558071	558492	-	long_noncoding_rna
